duration in seconds,source,target,weight
4293,74,20,1.17295082
4288,74,160,1.171584699
4285,74,146,1.170765027
4276,74,98,1.168306011
4265,74,90,1.165300546
4264,74,89,1.165027322
4258,74,52,1.163387978
4254,74,39,1.162295082
4250,74,42,1.161202186
4238,74,159,1.157923497
4237,74,52,1.157650273
4227,74,89,1.154918033
4214,74,35,1.15136612
4197,74,49,1.146721311
4191,74,105,1.145081967
4180,74,70,1.142076503
4169,74,124,1.139071038
4168,74,70,1.138797814
4161,74,179,1.136885246
4139,74,186,1.130874317
4139,74,68,1.130874317
4138,74,120,1.130601093
4133,74,68,1.129234973
4131,74,70,1.128688525
4121,74,31,1.125956284
4110,74,58,1.12295082
4098,74,224,1.119672131
4098,74,218,1.119672131
4081,74,52,1.115027322
4022,74,74,1.098907104
4007,74,107,1.094808743
4006,74,157,1.094535519
4002,74,107,1.093442623
3985,74,152,1.088797814
3973,74,152,1.085519126
3969,74,23,1.08442623
3962,74,97,1.082513661
3954,74,74,1.080327869
3945,74,40,1.077868852
3939,74,23,1.076229508
3927,74,61,1.07295082
3909,74,61,1.068032787
3886,74,33,1.061748634
3885,74,79,1.06147541
3877,74,33,1.059289617
3877,74,73,1.059289617
3860,74,33,1.054644809
3856,74,98,1.053551913
3854,74,342,1.053005464
3835,74,98,1.047814208
3833,74,36,1.04726776
3831,74,120,1.046721311
3830,74,73,1.046448087
3809,74,79,1.040710383
3797,74,74,1.037431694
3796,74,73,1.03715847
3790,74,23,1.035519126
3789,74,342,1.035245902
3787,74,342,1.034699454
3784,74,182,1.033879781
3781,74,342,1.033060109
3777,74,369,1.031967213
3775,74,73,1.031420765
3774,74,369,1.031147541
3772,74,60,1.030601093
3769,74,36,1.029781421
3767,74,36,1.029234973
3766,74,36,1.028961749
3764,74,67,1.028415301
3763,74,67,1.028142077
3761,74,36,1.027595628
3755,74,74,1.025956284
3750,74,36,1.024590164
3744,74,23,1.02295082
3737,74,352,1.021038251
3736,74,369,1.020765027
3735,74,70,1.020491803
3720,74,19,1.016393443
3717,74,60,1.01557377
3712,74,60,1.01420765
3705,74,60,1.012295082
3696,74,352,1.009836066
3661,74,369,1.000273224
3654,74,74,0.998360656
3646,74,49,0.996174863
3629,74,60,0.991530055
3623,74,74,0.98989071
3617,74,190,0.988251366
3613,74,157,0.98715847
3612,74,49,0.986885246
3608,74,60,0.98579235
3590,74,177,0.980874317
3588,74,71,0.980327869
3579,74,190,0.977868852
3571,74,380,0.97568306
3569,74,52,0.975136612
3564,74,370,0.973770492
3563,74,177,0.973497268
3559,74,52,0.972404372
3559,74,370,0.972404372
3555,74,97,0.971311475
3547,74,61,0.969125683
3538,74,157,0.966666667
3523,74,384,0.962568306
3523,74,97,0.962568306
3517,74,23,0.960928962
3514,74,157,0.96010929
3504,74,370,0.957377049
3499,74,42,0.956010929
3494,74,370,0.954644809
3490,74,42,0.953551913
3484,74,26,0.951912568
3476,74,369,0.949726776
3473,74,53,0.948907104
3461,74,76,0.945628415
3454,74,369,0.943715847
3446,74,122,0.941530055
3445,74,58,0.941256831
3442,74,87,0.940437158
3433,74,36,0.937978142
3428,74,58,0.936612022
3421,74,39,0.934699454
3419,74,151,0.934153005
3416,74,58,0.933333333
3409,74,151,0.931420765
3404,74,87,0.930054645
3400,74,352,0.928961749
3384,74,181,0.924590164
3377,74,35,0.922677596
3368,74,31,0.920218579
3352,74,58,0.915846995
3345,74,370,0.913934426
3342,74,35,0.913114754
3330,74,67,0.909836066
3330,74,35,0.909836066
3328,74,182,0.909289617
3327,74,67,0.909016393
3327,74,182,0.909016393
3326,74,182,0.908743169
3323,74,182,0.907923497
3320,74,35,0.907103825
3315,74,60,0.905737705
3312,74,73,0.904918033
3312,74,182,0.904918033
3309,74,182,0.904098361
3308,74,58,0.903825137
3304,74,352,0.90273224
3303,74,182,0.902459016
3302,74,35,0.902185792
3301,74,60,0.901912568
3297,74,370,0.900819672
3295,74,125,0.900273224
3282,74,133,0.896721311
3279,74,182,0.895901639
3279,74,335,0.895901639
3279,74,120,0.895901639
3276,74,122,0.895081967
3274,74,186,0.894535519
3274,74,58,0.894535519
3274,74,370,0.894535519
3274,74,369,0.894535519
3271,74,67,0.893715847
3270,74,58,0.893442623
3270,74,372,0.893442623
3264,74,359,0.891803279
3259,74,372,0.890437158
3259,74,372,0.890437158
3255,74,21,0.889344262
3248,74,100,0.887431694
3247,74,74,0.88715847
3241,74,54,0.885519126
3238,74,122,0.884699454
3237,74,84,0.88442623
3236,74,21,0.884153005
3235,74,384,0.883879781
3226,74,58,0.881420765
3226,74,120,0.881420765
3224,74,68,0.880874317
3220,74,23,0.879781421
3214,74,98,0.878142077
3210,74,54,0.87704918
3206,74,23,0.875956284
3186,74,84,0.870491803
3182,74,74,0.869398907
3179,74,221,0.868579235
3171,74,74,0.866393443
3163,74,218,0.86420765
3162,74,16,0.863934426
3152,74,369,0.861202186
3147,74,357,0.859836066
3141,74,369,0.858196721
3139,74,42,0.857650273
3131,74,42,0.855464481
3129,74,16,0.854918033
3126,74,40,0.854098361
3116,74,42,0.85136612
3110,74,40,0.849726776
3105,74,342,0.848360656
3096,74,108,0.845901639
3090,74,372,0.844262295
3090,74,185,0.844262295
3075,74,108,0.840163934
3058,74,185,0.835519126
3052,74,40,0.833879781
3049,74,61,0.833060109
3048,74,33,0.832786885
3045,74,53,0.831967213
3036,74,58,0.829508197
3034,74,74,0.828961749
3033,74,151,0.828688525
3033,74,105,0.828688525
3028,74,33,0.827322404
3019,74,115,0.824863388
3018,74,16,0.824590164
3016,74,115,0.824043716
3011,74,60,0.822677596
2997,74,185,0.818852459
2995,74,55,0.818306011
2995,74,177,0.818306011
2995,74,70,0.818306011
2992,74,74,0.817486339
2991,74,74,0.817213115
2991,74,372,0.817213115
2989,74,58,0.816666667
2987,74,357,0.816120219
2976,74,177,0.813114754
2975,74,35,0.81284153
2972,74,74,0.812021858
2967,74,53,0.810655738
2966,74,110,0.810382514
2963,74,61,0.809562842
2959,74,58,0.808469945
2957,74,60,0.807923497
2956,74,145,0.807650273
2951,74,74,0.806284153
2950,74,74,0.806010929
2950,74,36,0.806010929
2950,74,14,0.806010929
2949,74,151,0.805737705
2948,74,122,0.805464481
2947,74,115,0.805191257
2936,74,73,0.802185792
2936,74,58,0.802185792
2933,74,80,0.80136612
2932,74,185,0.801092896
2932,74,115,0.801092896
2931,74,352,0.800819672
2930,74,68,0.800546448
2929,74,100,0.800273224
2927,74,60,0.799726776
2927,74,80,0.799726776
2926,74,58,0.799453552
2921,74,61,0.798087432
2920,74,40,0.797814208
2915,74,60,0.796448087
2908,74,120,0.794535519
2903,74,33,0.793169399
2896,74,227,0.791256831
2895,74,74,0.790983607
2895,74,60,0.790983607
2894,74,145,0.790710383
2893,74,221,0.790437158
2888,74,67,0.789071038
2885,74,221,0.788251366
2883,74,58,0.787704918
2880,74,22,0.786885246
2880,74,11,0.786885246
2875,74,124,0.785519126
2874,74,100,0.785245902
2874,74,122,0.785245902
2873,74,372,0.784972678
2873,74,345,0.784972678
2869,74,61,0.783879781
2867,74,61,0.783333333
2857,74,372,0.780601093
2849,74,74,0.778415301
2845,74,97,0.777322404
2844,74,61,0.77704918
2844,74,90,0.77704918
2840,74,342,0.775956284
2840,74,33,0.775956284
2839,74,105,0.77568306
2836,74,67,0.774863388
2836,74,109,0.774863388
2834,74,110,0.77431694
2831,74,345,0.773497268
2831,74,372,0.773497268
2828,74,58,0.772677596
2824,74,100,0.771584699
2823,74,52,0.771311475
2821,74,74,0.770765027
2821,74,372,0.770765027
2810,74,97,0.767759563
2804,74,68,0.766120219
2795,74,60,0.763661202
2771,74,66,0.757103825
2766,74,80,0.755737705
2762,74,36,0.754644809
2758,74,54,0.753551913
2758,74,60,0.753551913
2757,74,190,0.753278689
2750,74,90,0.75136612
2745,74,54,0.75
2744,74,52,0.749726776
2736,74,48,0.747540984
2732,74,33,0.746448087
2731,74,333,0.746174863
2729,74,372,0.745628415
2728,74,36,0.745355191
2725,74,120,0.744535519
2724,74,131,0.744262295
2722,74,52,0.743715847
2721,74,10,0.743442623
2720,74,190,0.743169399
2717,74,151,0.742349727
2714,74,33,0.741530055
2713,74,33,0.741256831
2711,74,190,0.740710383
2709,74,52,0.740163934
2707,74,227,0.739617486
2703,74,372,0.73852459
2700,74,41,0.737704918
2696,74,345,0.736612022
2692,74,74,0.735519126
2691,74,73,0.735245902
2687,74,48,0.734153005
2685,74,145,0.733606557
2684,74,109,0.733333333
2684,74,35,0.733333333
2682,74,185,0.732786885
2670,74,342,0.729508197
2667,74,74,0.728688525
2667,74,369,0.728688525
2665,74,369,0.728142077
2665,74,71,0.728142077
2663,74,67,0.727595628
2662,74,131,0.727322404
2662,74,151,0.727322404
2660,74,159,0.726775956
2655,74,327,0.725409836
2653,74,327,0.724863388
2652,74,372,0.724590164
2646,74,115,0.72295082
2646,74,6,0.72295082
2642,74,33,0.721857923
2640,74,225,0.721311475
2634,74,67,0.719672131
2634,74,176,0.719672131
2631,74,33,0.718852459
2629,74,76,0.718306011
2628,74,161,0.718032787
2625,74,384,0.717213115
2624,74,40,0.716939891
2620,74,41,0.715846995
2612,74,358,0.713661202
2609,74,133,0.71284153
2609,74,97,0.71284153
2608,74,122,0.712568306
2608,74,173,0.712568306
2604,74,173,0.71147541
2599,74,74,0.71010929
2595,74,40,0.709016393
2591,74,26,0.707923497
2590,74,16,0.707650273
2584,74,97,0.706010929
2580,74,384,0.704918033
2574,74,352,0.703278689
2571,74,352,0.702459016
2571,74,174,0.702459016
2566,74,384,0.701092896
2565,74,358,0.700819672
2560,74,120,0.699453552
2556,74,60,0.698360656
2554,74,73,0.697814208
2553,74,33,0.697540984
2549,74,365,0.696448087
2542,74,122,0.694535519
2540,74,16,0.693989071
2536,74,80,0.692896175
2533,74,87,0.692076503
2531,74,122,0.691530055
2528,74,55,0.690710383
2527,74,73,0.690437158
2525,74,122,0.68989071
2521,74,55,0.688797814
2516,74,384,0.687431694
2516,74,329,0.687431694
2512,74,113,0.686338798
2511,74,60,0.686065574
2507,74,374,0.684972678
2504,74,6,0.684153005
2504,74,139,0.684153005
2504,74,365,0.684153005
2497,74,279,0.682240437
2497,74,58,0.682240437
2496,74,67,0.681967213
2495,74,190,0.681693989
2495,74,48,0.681693989
2495,74,36,0.681693989
2493,74,58,0.681147541
2485,74,11,0.678961749
2483,74,74,0.678415301
2477,74,74,0.676775956
2475,74,384,0.676229508
2473,74,67,0.67568306
2470,74,70,0.674863388
2470,74,11,0.674863388
2468,74,55,0.67431694
2467,74,342,0.674043716
2464,74,42,0.673224044
2462,74,380,0.672677596
2448,74,58,0.668852459
2448,74,225,0.668852459
2445,74,98,0.668032787
2443,74,70,0.667486339
2442,74,190,0.667213115
2441,74,384,0.666939891
2440,74,224,0.666666667
2439,74,122,0.666393443
2436,74,206,0.66557377
2435,74,380,0.665300546
2434,74,206,0.665027322
2434,74,42,0.665027322
2429,74,74,0.663661202
2426,74,74,0.66284153
2426,74,90,0.66284153
2423,74,236,0.662021858
2418,74,67,0.660655738
2416,74,58,0.66010929
2401,74,74,0.656010929
2401,74,39,0.656010929
2399,74,49,0.655464481
2395,74,67,0.654371585
2391,74,185,0.653278689
2388,74,36,0.652459016
2384,74,74,0.65136612
2382,74,236,0.650819672
2377,74,6,0.649453552
2374,74,74,0.64863388
2373,74,369,0.648360656
2371,74,50,0.647814208
2364,74,68,0.645901639
2358,74,50,0.644262295
2357,74,84,0.643989071
2356,74,6,0.643715847
2354,74,190,0.643169399
2350,74,6,0.642076503
2349,74,189,0.641803279
2347,74,227,0.641256831
2346,74,84,0.640983607
2344,74,70,0.640437158
2344,74,3,0.640437158
2340,74,6,0.639344262
2340,74,60,0.639344262
2340,74,8,0.639344262
2337,74,84,0.63852459
2329,74,84,0.636338798
2323,74,369,0.634699454
2319,74,39,0.633606557
2316,74,131,0.632786885
2315,74,131,0.632513661
2310,74,115,0.631147541
2309,74,342,0.630874317
2308,74,53,0.630601093
2306,74,342,0.630054645
2306,74,371,0.630054645
2303,74,39,0.629234973
2301,74,139,0.628688525
2297,74,369,0.627595628
2296,74,86,0.627322404
2295,74,60,0.62704918
2286,74,206,0.624590164
2285,74,374,0.62431694
2283,74,52,0.623770492
2276,74,53,0.621857923
2273,74,4,0.621038251
2273,74,53,0.621038251
2272,74,76,0.620765027
2271,74,67,0.620491803
2271,74,189,0.620491803
2270,74,149,0.620218579
2270,74,206,0.620218579
2267,74,4,0.619398907
2267,74,81,0.619398907
2266,74,50,0.619125683
2266,74,206,0.619125683
2266,74,279,0.619125683
2265,74,100,0.618852459
2264,74,100,0.618579235
2262,74,67,0.618032787
2261,74,81,0.617759563
2255,74,67,0.616120219
2255,74,67,0.616120219
2253,74,98,0.61557377
2251,74,176,0.615027322
2251,74,98,0.615027322
2251,74,139,0.615027322
2250,74,61,0.614754098
2250,74,149,0.614754098
2247,74,67,0.613934426
2246,74,67,0.613661202
2244,74,42,0.613114754
2241,74,52,0.612295082
2241,74,67,0.612295082
2241,74,84,0.612295082
2240,74,369,0.612021858
2238,74,52,0.61147541
2238,74,369,0.61147541
2238,74,33,0.61147541
2235,74,58,0.610655738
2228,74,74,0.608743169
2228,74,84,0.608743169
2224,74,61,0.607650273
2224,74,122,0.607650273
2222,74,49,0.607103825
2222,74,122,0.607103825
2219,74,380,0.606284153
2219,74,342,0.606284153
2219,74,70,0.606284153
2219,74,81,0.606284153
2218,74,369,0.606010929
2218,74,122,0.606010929
2217,74,342,0.605737705
