tripduration,starttime,stoptime,start station id,start station name,end station id,end station name,id,name
6093,47:26.6,28:59.8,74,Harvard Square at Mass Ave/ Dunster,74,Harvard Square at Mass Ave/ Dunster,42,Boylston St at Arlington St
6056,28:16.6,09:13.6,74,Harvard Square at Mass Ave/ Dunster,113,Andrew T Stop - Dorchester Ave at Dexter St,31,Seaport Hotel - Congress St at Seaport Ln
6033,26:41.4,07:14.8,74,Harvard Square at Mass Ave/ Dunster,141,Kendall Street,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St
5998,28:38.5,08:36.6,74,Harvard Square at Mass Ave/ Dunster,113,Andrew T Stop - Dorchester Ave at Dexter St,146,Murphy Skating Rink - 1880 Day Blvd
5925,50:03.5,28:49.2,74,Harvard Square at Mass Ave/ Dunster,74,Harvard Square at Mass Ave/ Dunster,98,Warren St at Chelsea St
5906,52:35.3,31:01.8,74,Harvard Square at Mass Ave/ Dunster,115,Porter Square Station,39,Washington St at Rutland St
5901,50:37.9,28:59.9,74,Harvard Square at Mass Ave/ Dunster,74,Harvard Square at Mass Ave/ Dunster,124,Curtis Hall - South St at Centre St
5897,51:08.5,29:25.9,74,Harvard Square at Mass Ave/ Dunster,149,175 N Harvard St,179,MIT Vassar St
5885,41:07.6,19:13.6,74,Harvard Square at Mass Ave/ Dunster,180,Mt Auburn,68,Central Square at Mass Ave / Essex St
5838,28:52.9,06:11.4,74,Harvard Square at Mass Ave/ Dunster,193,Brookline Town Hall,224,Fresh Pond Reservation
5824,56:47.5,33:52.5,74,Harvard Square at Mass Ave/ Dunster,334,Mass Ave at Hadley/Walden,218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd
5819,53:29.5,30:29.0,74,Harvard Square at Mass Ave/ Dunster,58,Mugar Way at Beacon St,107,Ames St at Main St
5815,26:18.5,03:14.4,74,Harvard Square at Mass Ave/ Dunster,369,Boston Public Market,152,Ink Block - Harrison Ave at Herald St
5807,46:29.3,23:16.6,74,Harvard Square at Mass Ave/ Dunster,55,Boylston St at Massachusetts Ave,40,Lewis Wharf at Atlantic Ave
