tripduration,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude
5442,58,Mugar Way at Beacon St,42.35553628,-71.0728687,151,Surface Rd at India St,42.358155,-71.052163
6117,58,Mugar Way at Beacon St,42.35553628,-71.0728687,152,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187
4772.166667,58,Mugar Way at Beacon St,42.35553628,-71.0728687,157,Seaport Blvd at Sleeper St,42.35317809,-71.04817357
1955,58,Mugar Way at Beacon St,42.35553628,-71.0728687,169,Edwards Playground - Main St at Eden St,42.378965,-71.068607
2494,58,Mugar Way at Beacon St,42.35553628,-71.0728687,175,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189
2834.5,58,Mugar Way at Beacon St,42.35553628,-71.0728687,177,University Park,42.36264779,-71.10006094
1844,58,Mugar Way at Beacon St,42.35553628,-71.0728687,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476
2476,58,Mugar Way at Beacon St,42.35553628,-71.0728687,179,MIT Vassar St,42.35560121,-71.10394478
2002.5,58,Mugar Way at Beacon St,42.35553628,-71.0728687,180,Mt Auburn,42.37478629,-71.13320231
8730.058824,58,Mugar Way at Beacon St,42.35553628,-71.0728687,182,Museum of Science,42.36769018,-71.07116282
2651,58,Mugar Way at Beacon St,42.35553628,-71.0728687,184,Sidney Research Campus/Erie Street at Waverly,42.35775309,-71.10393405
6218.666667,58,Mugar Way at Beacon St,42.35553628,-71.0728687,186,Congress St at Northern Ave,42.3481,-71.03764
2838,58,Mugar Way at Beacon St,42.35553628,-71.0728687,187,Cypress St at Clark Playground,42.32784317,-71.12536222
3328,58,Mugar Way at Beacon St,42.35553628,-71.0728687,189,Kendall T,42.36242784,-71.08495474
4559,58,Mugar Way at Beacon St,42.35553628,-71.0728687,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263
1930,58,Mugar Way at Beacon St,42.35553628,-71.0728687,191,Tappan St at Brookline Hills MBTA,42.33209606,-71.12845883
3434.5,58,Mugar Way at Beacon St,42.35553628,-71.0728687,193,Brookline Town Hall,42.33376473,-71.12046447
