tripduration,start_station_id,start_station_name,end_station_id,end_station_name
867285,20,Aquarium T Stop - 200 Atlantic Ave,138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square
858145,43,Rowes Wharf at Atlantic Ave,54,Tremont St at West St
844914,343,Morton St T,1,18 Dorrance Warehouse
843615,390,Broadway at Lynde St,169,Edwards Playground - Main St at Eden St
838408,39,Washington St at Rutland St,39,Washington St at Rutland St
837254,374,Tremont St at Hamilton Pl,1,18 Dorrance Warehouse
831569,33,Kenmore Square,1,18 Dorrance Warehouse
816315,21,Prudential Center - 101 Huntington Ave,68,Central Square at Mass Ave / Essex St
812972,216,Glendon St at Condor St,216,Glendon St at Condor St
800113,360,Bartlett St at John Elliot Sq,39,Washington St at Rutland St
733268,372,Boylston St at Exeter St,1,18 Dorrance Warehouse
720264,59,Chinatown Gate Plaza,349,Washington St at Talbot Ave
695541,161,W Broadway at D St,55,Boylston St at Massachusetts Ave
692753,36,Copley Square - Dartmouth St at Boylston St,51,Washington St at Lenox St
682962,200,Washington St at Melnea Cass Blvd,213,East Boston Neighborhood Health Center - 20 Maverick Square
682272,48,Post Office Square,1,18 Dorrance Warehouse
676884,106,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,1,18 Dorrance Warehouse
670411,67,MIT at Mass Ave / Amherst St,1,18 Dorrance Warehouse
632503,56,Dudley Square - Bolling Building,1,18 Dorrance Warehouse
631408,121,W Broadway at Dorchester St,22,South Station - 700 Atlantic Ave
617956,337,Roslindale Village - South St,197,MLK Blvd at Washington St
616723,53,Beacon St at Massachusetts Ave,1,18 Dorrance Warehouse
615829,331,Huntington Ave at Mass Art,131,Jackson Square T Stop
614150,151,Surface Rd at India St,36,Copley Square - Dartmouth St at Boylston St
609480,140,Danehy Park,371,700 Huron Ave
609003,69,Coolidge Corner - Beacon St at Centre St,151,Surface Rd at India St
606059,22,South Station - 700 Atlantic Ave,22,South Station - 700 Atlantic Ave
592166,188,Foss Park,1,18 Dorrance Warehouse
591371,199,Uphams Corner T Stop - Magnolia St at Dudley St,1,18 Dorrance Warehouse
575291,60,Charles Circle - Charles St at Cambridge St,22,South Station - 700 Atlantic Ave
573786,296,Farragut Rd at E. 6th St,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd
571530,53,Beacon St at Massachusetts Ave,173,Savin Hill T Stop - S Sydney St at Bay St
563917,4,Tremont St at E Berkeley St,21,Prudential Center - 101 Huntington Ave
552465,352,Ring Rd,39,Washington St at Rutland St
534353,30,Brigham Circle - Francis St at Huntington Ave,191,Tappan St at Brookline Hills MBTA
517122,43,Rowes Wharf at Atlantic Ave,1,18 Dorrance Warehouse
506502,339,Archdale Rd at Washington St,1,18 Dorrance Warehouse
502507,31,Seaport Hotel - Congress St at Seaport Ln,1,18 Dorrance Warehouse
502012,42,Boylston St at Arlington St,346,Cleveland Circle
493075,23,Boston City Hall - 28 State St,189,Kendall T
488988,22,South Station - 700 Atlantic Ave,1,18 Dorrance Warehouse
487860,113,Andrew T Stop - Dorchester Ave at Dexter St,93,JFK/UMass T Stop
477183,197,MLK Blvd at Washington St,26,Washington St at Waltham St
477007,22,South Station - 700 Atlantic Ave,131,Jackson Square T Stop
468855,365,Harrison Ave at Bennet St,1,18 Dorrance Warehouse
465157,102,Powder House Circle - Nathan Tufts Park,386,Sennott Park Broadway at Norfolk Street
459186,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,142,Alewife Station at Russell Field
458874,22,South Station - 700 Atlantic Ave,33,Kenmore Square
442671,206,Government Center - Cambridge St at Court St,58,Mugar Way at Beacon St
435964,227,Silber Way,1,18 Dorrance Warehouse
423585,81,Chinatown T Stop,1,18 Dorrance Warehouse
421153,138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,272,Shawmut T Stop
419896,27,Roxbury Crossing T Stop - Columbus Ave at Tremont St,282,Stony Brook T Stop
419480,33,Kenmore Square,58,Mugar Way at Beacon St
416103,16,Back Bay T Stop - Dartmouth St at Stuart St,1,18 Dorrance Warehouse
413321,138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,335,Harvard St at Greene-Rose Heritage Park
412111,161,W Broadway at D St,39,Washington St at Rutland St
408712,73,Harvard Square at Brattle St / Eliot St,1,18 Dorrance Warehouse
406822,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,1,18 Dorrance Warehouse
400650,372,Boylston St at Exeter St,1,18 Dorrance Warehouse
396137,43,Rowes Wharf at Atlantic Ave,23,Boston City Hall - 28 State St
392782,122,Burlington Ave at Brookline Ave,1,18 Dorrance Warehouse
387694,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,1,18 Dorrance Warehouse
370596,362,Columbia Rd at Tierney Community Center,27,Roxbury Crossing T Stop - Columbus Ave at Tremont St
366942,41,Packard's Corner - Commonwealth Ave at Brighton Ave,167,Ryan Playground - Dorchester Ave at Harbor View St
366888,233,St Mary's,385,Albany St at E. Brookline St
365517,366,Broadway T Stop,372,Boylston St at Exeter St
364524,57,Massachusetts Ave at Columbus Ave,79,Beacon St at Washington / Kirkland
361013,203,Columbia Rd at Ceylon St,23,Boston City Hall - 28 State St
357288,51,Washington St at Lenox St,60,Charles Circle - Charles St at Cambridge St
356559,190,Nashua Street at Red Auerbach Way,78,Union Square - Somerville
355120,20,Aquarium T Stop - 200 Atlantic Ave,1,18 Dorrance Warehouse
349598,218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,133,Green Street T Stop - Green St at Amory St
345413,52,Newbury St at Hereford St,81,Chinatown T Stop
342763,296,Farragut Rd at E. 6th St,1,18 Dorrance Warehouse
341059,379,Tremont St at W. Dedham St,1,18 Dorrance Warehouse
329408,49,Stuart St at Charles St,134,Boylston St at Dartmouth St FORMER
329111,50,Boylston St at Berkeley St,1,18 Dorrance Warehouse
327506,354,Washington St at Egremont Rd,1,18 Dorrance Warehouse
324962,49,Stuart St at Charles St,19,Park Dr at Buswell St
324156,57,Massachusetts Ave at Columbus Ave,1,18 Dorrance Warehouse
320837,203,Columbia Rd at Ceylon St,81,Chinatown T Stop
320212,331,Huntington Ave at Mass Art,1,18 Dorrance Warehouse
315847,61,Boylston St at Fairfield St,1,18 Dorrance Warehouse
311443,110,Harvard University Gund Hall at Quincy St / Kirkland St,99,Wilson Square
302393,385,Albany St at E. Brookline St,11,Longwood Ave at Binney St
300920,59,Chinatown Gate Plaza,365,Harrison Ave at Bennet St
300031,156,Somerville Hospital,330,30 Dane St
294544,82,Beacon St at Tappan St,82,Beacon St at Tappan St
287300,260,Fields Corner T Stop,232,Four Corners - 157 Washington St
274901,212,Maverick Square - Lewis Mall,1,18 Dorrance Warehouse
271628,190,Nashua Street at Red Auerbach Way,1,18 Dorrance Warehouse
267016,14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,151,Surface Rd at India St
262347,332,Harvard Ave at Brainerd Rd,42,Boylston St at Arlington St
261811,56,Dudley Square - Bolling Building,54,Tremont St at West St
259222,133,Green Street T Stop - Green St at Amory St,133,Green Street T Stop - Green St at Amory St
257867,343,Morton St T,347,Thetford Ave at Norfolk St
257786,20,Aquarium T Stop - 200 Atlantic Ave,6,Cambridge St at Joy St
255052,260,Fields Corner T Stop,27,Roxbury Crossing T Stop - Columbus Ave at Tremont St
254592,161,W Broadway at D St,36,Copley Square - Dartmouth St at Boylston St
254354,369,Boston Public Market,1,18 Dorrance Warehouse
254216,331,Huntington Ave at Mass Art,1,18 Dorrance Warehouse
253204,210,Bennington St at Byron St,210,Bennington St at Byron St
252203,200,Washington St at Melnea Cass Blvd,1,18 Dorrance Warehouse
247687,30,Brigham Circle - Francis St at Huntington Ave,374,Tremont St at Hamilton Pl
245908,102,Powder House Circle - Nathan Tufts Park,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St
242356,39,Washington St at Rutland St,54,Tremont St at West St
240344,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,1,18 Dorrance Warehouse
239470,81,Chinatown T Stop,1,18 Dorrance Warehouse
232570,200,Washington St at Melnea Cass Blvd,1,18 Dorrance Warehouse
232526,318,Ames St at Broadway,349,Washington St at Talbot Ave
228197,59,Chinatown Gate Plaza,1,18 Dorrance Warehouse
225873,235,East Somerville Library (Broadway and Illinois),190,Nashua Street at Red Auerbach Way
219725,67,MIT at Mass Ave / Amherst St,169,Edwards Playground - Main St at Eden St
218527,209,Chelsea St at Saratoga St,209,Chelsea St at Saratoga St
211918,23,Boston City Hall - 28 State St,1,18 Dorrance Warehouse
203157,364,Tremont St at Northampton St,202,Grove Hall Library - 41 Geneva Ave
200878,53,Beacon St at Massachusetts Ave,122,Burlington Ave at Brookline Ave
198574,369,Boston Public Market,369,Boston Public Market
198145,333,699 Mt Auburn St,183,Alewife MBTA at Steel Place
198008,138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,1,18 Dorrance Warehouse
194089,183,Alewife MBTA at Steel Place,1,18 Dorrance Warehouse
191966,189,Kendall T,116,359 Broadway - Broadway at Fayette Street
189657,228,One Memorial Drive,235,East Somerville Library (Broadway and Illinois)
189461,69,Coolidge Corner - Beacon St at Centre St,208,Oak Square - 615 Washington St
187875,24,Seaport Square - Seaport Blvd at Northern Ave,129,Hayes Square - Vine St at Moulton St
180574,85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard
178421,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,1,18 Dorrance Warehouse
178256,49,Stuart St at Charles St,43,Rowes Wharf at Atlantic Ave
176490,222,Troy Boston,152,Ink Block - Harrison Ave at Herald St
173836,200,Washington St at Melnea Cass Blvd,1,18 Dorrance Warehouse
172332,53,Beacon St at Massachusetts Ave,1,18 Dorrance Warehouse
171386,202,Grove Hall Library - 41 Geneva Ave,36,Copley Square - Dartmouth St at Boylston St
170052,364,Tremont St at Northampton St,56,Dudley Square - Bolling Building
169395,391,Encore,391,Encore
167017,92,University of Massachusetts Boston - Campus Center,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St
167010,67,MIT at Mass Ave / Amherst St,74,Harvard Square at Mass Ave/ Dunster
165272,190,Nashua Street at Red Auerbach Way,163,The Lawn on D
165257,118,Linear Park - Mass. Ave. at Cameron Ave. ,319,84 Cambridgepark Dr
164199,387,7 Acre Park,387,7 Acre Park
163264,214,Airport T Stop - Bremen St at Brooks St,216,Glendon St at Condor St
160893,214,Airport T Stop - Bremen St at Brooks St,214,Airport T Stop - Bremen St at Brooks St
160043,78,Union Square - Somerville,176,Lesley University
158724,27,Roxbury Crossing T Stop - Columbus Ave at Tremont St,1,18 Dorrance Warehouse
155597,206,Government Center - Cambridge St at Court St,206,Government Center - Cambridge St at Court St
155192,78,Union Square - Somerville,105,Lower Cambridgeport at Magazine St / Riverside Rd
154688,200,Washington St at Melnea Cass Blvd,1,18 Dorrance Warehouse
153718,56,Dudley Square - Bolling Building,29,Innovation Lab - 125 Western Ave at Batten Way
152621,50,Boylston St at Berkeley St,361,Deerfield St at Commonwealth Ave
150876,36,Copley Square - Dartmouth St at Boylston St,110,Harvard University Gund Hall at Quincy St / Kirkland St
149402,70,Harvard Kennedy School at Bennett St / Eliot St,54,Tremont St at West St
148790,30,Brigham Circle - Francis St at Huntington Ave,191,Tappan St at Brookline Hills MBTA
147019,214,Airport T Stop - Bremen St at Brooks St,355,Bennington St at Constitution Beach
146621,68,Central Square at Mass Ave / Essex St,1,18 Dorrance Warehouse
144384,319,84 Cambridgepark Dr,319,84 Cambridgepark Dr
143409,40,Lewis Wharf at Atlantic Ave,200,Washington St at Melnea Cass Blvd
143309,118,Linear Park - Mass. Ave. at Cameron Ave. ,386,Sennott Park Broadway at Norfolk Street
143073,33,Kenmore Square,332,Harvard Ave at Brainerd Rd
142759,30,Brigham Circle - Francis St at Huntington Ave,1,18 Dorrance Warehouse
142178,190,Nashua Street at Red Auerbach Way,100,Davis Square
142073,157,Seaport Blvd at Sleeper St,121,W Broadway at Dorchester St
141875,36,Copley Square - Dartmouth St at Boylston St,36,Copley Square - Dartmouth St at Boylston St
141608,85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,94,Main St at Austin St
141602,70,Harvard Kennedy School at Bennett St / Eliot St,176,Lesley University
141592,102,Powder House Circle - Nathan Tufts Park,91,One Kendall Square at Hampshire St / Portland St
140613,22,South Station - 700 Atlantic Ave,22,South Station - 700 Atlantic Ave
138853,61,Boylston St at Fairfield St,74,Harvard Square at Mass Ave/ Dunster
137784,9,Commonwealth Ave at Agganis Way,12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd
136916,55,Boylston St at Massachusetts Ave,19,Park Dr at Buswell St
136002,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,356,Charlestown Navy Yard
135956,53,Beacon St at Massachusetts Ave,22,South Station - 700 Atlantic Ave
135457,369,Boston Public Market,296,Farragut Rd at E. 6th St
135310,110,Harvard University Gund Hall at Quincy St / Kirkland St,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St
134413,194,Broadway St at Mt Pleasant St,260,Fields Corner T Stop
134332,193,Brookline Town Hall,86,Brookline Village - Station Street at MBTA
133810,6,Cambridge St at Joy St,206,Government Center - Cambridge St at Court St
133380,152,Ink Block - Harrison Ave at Herald St,1,18 Dorrance Warehouse
131925,333,699 Mt Auburn St,73,Harvard Square at Brattle St / Eliot St
131875,67,MIT at Mass Ave / Amherst St,161,W Broadway at D St
131505,27,Roxbury Crossing T Stop - Columbus Ave at Tremont St,138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square
130186,55,Boylston St at Massachusetts Ave,333,699 Mt Auburn St
127726,22,South Station - 700 Atlantic Ave,189,Kendall T
127240,133,Green Street T Stop - Green St at Amory St,59,Chinatown Gate Plaza
124861,75,Lafayette Square at Mass Ave / Main St / Columbia St,192,Purchase St at Pearl St
124501,41,Packard's Corner - Commonwealth Ave at Brighton Ave,26,Washington St at Waltham St
